"animal_id","water_year","first_detection_startup_1","last_detection_startup_1","last_detection_startup_2","first_detection_endup","route_cluster","migration_binary","migration_type","last_detection_startup","HMC_mean_discharge","VON_mean_discharge","migration_duration","mean_temp_after_1week","mean_temp_before_1week"
"UCDHIST-GS0214-2005-08-30",2009,2009-05-29 05:26:48,2009-09-07 17:09:10,2009-09-02 11:17:37,NA,NA,0,"up",2009-09-02 11:17:37,NA,NA,NA,71.0642857142857,71.7922619057143
"UCDHIST-GS0214-2005-08-30",2010,2010-01-26 12:08:07,2010-01-30 00:16:34,2010-01-30 01:59:45,2010-02-17 03:12:21,0,1,"up",2010-01-30 01:59:45,13405.2222222222,32377.2222222222,18.0504166666667,50.4845238114286,47.4773809514286
"UCDHIST-GS0222-2005-10-16",2010,2010-02-23 01:27:36,2010-03-03 02:12:36,2010-03-04 14:13:37,2010-03-18 10:57:13,0,1,"up",2010-03-04 14:13:37,8442.85714285714,19929.9285714286,13.8636111111111,53.5178571442857,53.5255952385714
"UCDHIST-GS0224-2005-10-17",2009,2009-04-12 07:29:21,2009-04-14 07:01:03,2009-04-15 07:26:01,2009-04-25 01:27:45,1,1,"up",2009-04-15 07:26:01,5672.88888888889,11109.1111111111,9.7512037037037,61.1625,59.1857142857143
"UCDHIST-GS0230-2005-10-29",2010,2010-02-26 16:20:54,2010-03-04 20:02:12,2010-03-06 22:06:11,2010-03-20 04:27:42,1,1,"up",2010-03-06 22:06:11,7970.92307692308,18066.1538461538,13.2649421296296,53.6791666671429,53.2625000014286
"UCDHIST-GS0232-2005-11-04",2010,2010-03-07 07:37:22,2010-03-09 17:55:48,2010-03-10 12:57:24,2010-04-19 11:00:56,1,1,"up",2010-03-10 12:57:24,7907.6,15110.125,39.9191203703704,54.0606884042857,53.4250000014286
"UCDHIST-GS0233-2005-11-14",2009,2009-02-07 02:08:54,2009-02-22 19:34:26,2009-02-23 04:26:23,2009-03-07 06:29:44,0,1,"up",2009-02-23 04:26:23,19199.5,37934.8333333333,12.0856597222222,53.5386904757143,48.8196428585714
"UCDHIST-GS0265-2005-08-02",2008,2008-04-06 02:10:48,2008-04-09 03:38:13,2008-04-13 09:02:43,2008-05-15 14:05:03,1,1,"up",2008-04-13 09:02:43,6709.84375,9305.9375,32.2099537037037,62.4947981385714,58.8119047614286
"UCDHIST-GS0285-2005-09-23",2007,2007-03-20 07:16:01,2007-03-22 16:09:07,2007-03-23 18:55:31,2007-04-08 07:11:47,1,1,"up",2007-03-23 18:55:31,7280.25,12571.375,15.5112962962963,NA,NA
"UCDHIST-GS0302-2006-06-14",2009,2009-03-23 23:41:06,2009-03-28 14:02:52,2009-03-28 15:30:53,2009-04-15 04:40:20,0,1,"up",2009-03-28 15:30:53,5979.17647058824,11974.8823529412,17.5482291666667,58.6555641814286,57.8735342542857
"UCDHIST-GS0303-2006-06-28",2009,2009-05-25 16:33:25,2009-06-17 05:03:39,2009-06-18 00:36:22,NA,NA,0,"up",2009-06-18 00:36:22,7494.45945945946,13706.6575342466,NA,70.2220238085714,68.0470238085714
"UCDHIST-GS0303-2006-06-28",2010,2009-11-05 13:00:09,2010-03-01 02:50:57,2010-03-01 19:23:31,2010-03-19 03:30:21,0,1,"up",2010-03-01 19:23:31,9394.23529411765,21114.8235294118,17.3380787037037,53.3696428585714,54.3865683228571
"UCDHIST-GS0303-2006-06-28",2012,2012-06-11 03:41:34,2012-09-29 13:55:33,2012-09-28 05:15:11,NA,NA,0,"up",2012-09-28 05:15:11,6030,12896,NA,68.7267857171429,67.7291666671429
"UCDHIST-GS0305-2006-06-30",2010,2010-04-19 16:04:39,2010-04-22 23:17:14,2010-04-23 16:38:15,2010-05-09 10:01:30,0,1,"up",2010-04-23 16:38:15,9167.375,18081.5,15.7244791666667,61.71547619,59.0202380957143
"UCDHIST-GS0307-2006-07-01",2010,2010-02-23 23:32:45,2010-03-02 11:21:50,2010-03-04 03:00:05,2010-04-23 01:08:59,0,1,"up",2010-03-04 03:00:05,8558.06,16723.72,49.9228472222222,53.5178571442857,53.5255952385714
"UCDHIST-GS0308-2006-07-08",2009,2009-02-27 09:14:27,2009-03-07 13:01:54,2009-03-07 19:10:11,2009-03-29 06:31:59,1,1,"up",2009-03-07 19:10:11,7043.90476190476,16472.1428571429,21.4734722222222,53.4880693571429,53.9511904757143
"UCDHIST-GS0308-2006-07-08",2012,2012-03-22 17:11:09,2012-03-24 05:37:15,2012-03-31 16:20:41,2012-04-22 08:21:22,0,1,"up",2012-03-31 16:20:41,11137.0454545455,23839.9545454545,21.6671412037037,55.6958333328571,54.7607142857143
"UCDHIST-GS0356-2005-06-04",2007,2007-03-13 21:59:48,2007-03-16 00:32:52,2007-03-18 10:09:00,2007-04-02 16:27:46,1,1,"up",2007-03-18 10:09:00,7134.46666666667,12145.9333333333,15.2630324074074,NA,NA
"UCDHIST-GS0367-2005-07-22",2007,2007-03-22 20:53:33,2007-03-27 13:31:04,2007-03-27 22:13:29,2007-04-15 04:41:30,1,1,"up",2007-03-27 22:13:29,7384.72222222222,13034.5,18.2694560185185,NA,NA
"UCDHIST-GS0424-2009-04-11",2013,2013-04-04 09:19:04,2013-04-07 13:03:10,2013-04-12 16:33:40,2013-04-27 05:09:14,1,1,"up",2013-04-12 16:33:40,6019.92857142857,8715.42857142857,14.5246990740741,61.6202380971429,62.0244047628571
"UCDHIST-GS0426-2009-04-22",2013,2013-02-25 15:40:33,2013-02-26 17:45:10,2013-03-02 18:00:56,2013-03-18 12:21:29,1,1,"up",2013-03-02 18:00:56,6352.5,12343.9375,15.7642708333333,54.4101190471429,51.1267857142857
"UCDHIST-GS0426-2009-04-22",2016,2016-02-15 08:03:23,2016-03-06 18:05:23,2016-03-08 11:51:48,2016-03-26 12:52:38,1,1,"up",2016-03-08 11:51:48,34594.8333333333,56800.0555555556,18.0422453703704,53.4370600414286,57.2226190471429
"UCDHIST-GS0428-2009-05-14",2014,2014-03-21 04:16:15,2014-03-23 13:37:14,2014-03-26 20:50:32,2014-04-15 06:46:01,1,1,"up",2014-03-26 20:50:32,7296.26315789474,11202.6315789474,19.4135300925926,60.7416666671429,60.0217132485714
"UCDHIST-GS0429-2009-05-14",2012,2012-03-08 15:41:42,2012-03-12 23:59:53,2012-03-13 18:37:06,2012-04-03 13:07:56,1,1,"up",2012-03-13 18:37:06,14211.15,25949.9047619048,20.771412037037,54.1392857142857,53.2457039328571
"UCDHIST-GS0430-2009-05-15",2012,2012-03-05 05:59:20,2012-03-07 03:21:33,2012-03-07 15:16:49,2012-04-04 22:22:04,1,1,"up",2012-03-07 15:16:49,12139.5555555556,22397.2142857143,28.2953125,53.6070134571429,52.5488095242857
"UCDHIST-GS0430-2009-05-15",2015,2015-03-17 11:17:54,2015-03-17 18:38:44,2015-03-21 12:40:00,2015-04-04 22:35:23,1,1,"up",2015-03-21 12:40:00,4209.71428571429,5768.92857142857,14.4134606481481,64.0805641828571,62.6244047628571
"UCDHIST-GS0431-2009-05-15",2013,2013-01-27 13:56:39,2013-02-26 12:54:30,2013-02-27 13:19:36,2013-03-29 22:19:27,1,1,"up",2013-02-27 13:19:36,6288.6,12211.2,30.3748958333333,52.9422619042857,51.12202381
